"","n","Coefficient","value","rescale"
"219","isr","c",-0.00975080121301649,4.13842801440665
"220","ita","a",-0.111825626420385,0.741047573555043
"221","ita","b",0.0164082506095754,0.741047573555043
"222","ita","c",-0.000601665703225897,0.741047573555043
"223","jam","a",-3.52861101302459,1.78699038730666
"224","jam","b",0.27987361897064,1.78699038730666
"225","jam","c",-0.0055374805413297,1.78699038730666
"226","jor","a",-3.52528107421577,4.27597054265083
"227","jor","b",0.377740500744943,4.27597054265083
"228","jor","c",-0.0101165441445557,4.27597054265083
"229","jpn","a",-0.106590684360192,1.19355699436498
"230","jpn","b",0.016519054751413,1.19355699436498
"231","jpn","c",-0.000639453674473381,1.19355699436498
"232","kaz","a",-0.232204601141461,1.66374584529352
"233","kaz","b",0.0491511895890273,1.66374584529352
"234","kaz","c",-0.00258177582248464,1.66374584529352
"235","ken","a",-2.77257249374879,2.22948600921188
"236","ken","b",0.258904801043643,2.22948600921188
"237","ken","c",-0.00603702266018271,2.22948600921188
"238","kgz","a",-0.160190118283575,1.56907185309524
"239","kgz","b",0.045473302086651,1.56907185309524
"240","kgz","c",-0.00315665907216529,1.56907185309524
"241","khm","a",-3.54504882567639,1.87270257815281
"242","khm","b",0.286425151010185,1.87270257815281
"243","khm","c",-0.00577444012192346,1.87270257815281
"244","kor","a",-0.0821009855957455,0.994902778273294
"245","kor","b",0.0126051613916736,0.994902778273294
"246","kor","c",-0.000483345139069723,0.994902778273294
"247","kwt","a",-3.66466980352146,2.25628669414853
"248","kwt","b",0.315665936271113,2.25628669414853
"249","kwt","c",-0.00678984679401441,2.25628669414853
"250","lbn","a",-3.97934229657681,5.77691895929713
"251","lbn","b",0.44782799958634,5.77691895929713
"252","lbn","c",-0.01259799070637,5.77691895929713
"253","lca","a",-3.30457232584328,1.813421800802
"254","lca","b",0.269538369409741,1.813421800802
"255","lca","c",-0.0054847361348025,1.813421800802
"256","lka","a",-3.51576127102044,1.74526123461017
"257","lka","b",0.276328297908536,1.74526123461017
"258","lka","c",-0.00541697469068874,1.74526123461017
"259","lso","a",-0.411639611043862,2.11709755986452
"260","lso","b",0.0587065623610004,2.11709755986452
"261","lso","c",-0.00209275817459342,2.11709755986452
"262","ltu","a",-0.175713160912014,1.67323006123628
"263","ltu","b",0.0495557924580167,1.67323006123628
"264","ltu","c",-0.00343196580281144,1.67323006123628
"265","lux","a",-0.30249267687324,2.02189881950879
"266","lux","b",0.058586263172392,2.02189881950879
"267","lux","c",-0.00282850072353718,2.02189881950879
"268","lva","a",-0.175750836500986,1.67214714476227
"269","lva","b",0.0495263312893126,1.67214714476227
"270","lva","c",-0.00342717277868266,1.67214714476227
"271","mar","a",-3.36467867264979,4.88741122051983
"272","mar","b",0.377739891694583,4.88741122051983
"273","mar","c",-0.0106000900489014,4.88741122051983
"274","mda","a",-0.212082703179586,1.6951233637611
"275","mda","b",0.0354009255778516,1.6951233637611
"276","mda","c",-0.00147462230462968,1.6951233637611
"277","mdg","a",-2.74754759048767,2.23675543896356
"278","mdg","b",0.257555330329568,2.23675543896356
"279","mdg","c",-0.00602873215753098,2.23675543896356
"280","mdv","a",-3.69335011401468,1.70648090115591
"281","mdv","b",0.282652661415602,1.70648090115591
"282","mdv","c",-0.00539441438203117,1.70648090115591
"283","mex","a",-3.23112426655829,3.85703299056469
"284","mex","b",0.34398423318355,3.85703299056469
"285","mex","c",-0.009152393107206,3.85703299056469
