"","n","Coefficient","value","rescale"
"252","lbn","c",-0.00971713470770824,4.6406180898843
"253","lca","a",-3.13131886364001,1.77071445846492
"254","lca","b",0.256053503185483,1.77071445846492
"255","lca","c",-0.00522234366256322,1.77071445846492
"256","lka","a",-3.34598366847978,1.7093607138359
"257","lka","b",0.263628867499114,1.7093607138359
"258","lka","c",-0.00517949411269975,1.7093607138359
"259","lso","a",-0.585287099806168,3.21256247670481
"260","lso","b",0.0838015048183187,3.21256247670481
"261","lso","c",-0.00299941703477156,3.21256247670481
"262","ltu","a",-0.184095987142495,1.7221705110288
"263","ltu","b",0.052235023770183,1.7221705110288
"264","ltu","c",-0.0036460427807521,1.7221705110288
"265","lux","a",-0.333113146588031,2.16108307228592
"266","lux","b",0.0648360455681306,2.16108307228592
"267","lux","c",-0.00314740324493789,2.16108307228592
"268","lva","a",-0.184130227020836,1.72098740283929
"269","lva","b",0.0522022446487856,1.72098740283929
"270","lva","c",-0.00364080741864972,1.72098740283929
"271","mar","a",-2.68457466268385,4.0848193863433
"272","mar","b",0.302374045478981,4.0848193863433
"273","mar","c",-0.00851217015262031,4.0848193863433
"274","mda","a",-0.236375017198509,1.82455801187913
"275","mda","b",0.039627925369994,1.82455801187913
"276","mda","c",-0.00165850276193043,1.82455801187913
"277","mdg","a",-2.53665924092639,2.14032481484939
"278","mdg","b",0.238463801335619,2.14032481484939
"279","mdg","c",-0.00559664750220859,2.14032481484939
"280","mdv","a",-3.5242078206245,1.67429384286635
"281","mdv","b",0.270353699003293,1.67429384286635
"282","mdv","c",-0.00517083860836221,1.67429384286635
"283","mex","a",-2.73400832865728,3.40847906967247
"284","mex","b",0.291972638562454,3.40847906967247
"285","mex","c",-0.00779194287377981,3.40847906967247
"286","mkd","a",-0.204654529138521,1.73581633955759
"287","mkd","b",0.0332961473259069,1.73581633955759
"288","mkd","c",-0.00135276695820128,1.73581633955759
"289","mli","a",-3.79454464443164,1.68755330809389
"290","mli","b",0.284869345473863,1.68755330809389
"291","mli","c",-0.00533236475880938,1.68755330809389
"292","mlt","a",-2.47001354129598,3.43810399414338
"293","mlt","b",0.271216961034532,3.43810399414338
"294","mlt","c",-0.00744220857168469,3.43810399414338
"295","mmr","a",-2.93977883373068,2.22843534172473
"296","mmr","b",0.26838628690951,2.22843534172473
"297","mmr","c",-0.00611801975483363,2.22843534172473
"298","mne","a",-0.186052339069305,1.67784948365962
"299","mne","b",0.0298249687492704,1.67784948365962
"300","mne","c",-0.00119417199912701,1.67784948365962
"301","mng","a",0.00849628770087139,1.37755774941657
"302","mng","b",0.00706651463210108,1.37755774941657
"303","mng","c",-0.00389705312481789,1.37755774941657
"304","moz","a",-2.95092562713573,2.02331032039224
"305","moz","b",0.259534254875397,2.02331032039224
"306","moz","c",-0.00569739599343783,2.02331032039224
"307","mrt","a",-3.96410266579382,1.65167936568416
"308","mrt","b",0.290256193847747,1.65167936568416
"309","mrt","c",-0.00529826548159656,1.65167936568416
"310","mus","a",-2.71079558561967,1.86233553037452
"311","mus","b",0.236978309235287,1.86233553037452
"312","mus","c",-0.00516874242140875,1.86233553037452
"313","mys","a",-3.17900333534423,1.8087149623009
"314","mys","b",0.261006183387072,1.8087149623009
"315","mys","c",-0.00534566361262429,1.8087149623009
"316","nam","a",-2.83441751850568,2.29459890520427
"317","nam","b",0.264360485050593,2.29459890520427
"318","nam","c",-0.00615707659265705,2.29459890520427
"319","ner","a",-3.72707603773852,1.7447960972022
"320","ner","b",0.285779091161415,1.7447960972022
"321","ner","c",-0.005464946131929,1.7447960972022
"322","nga","a",-3.38622494170986,1.82107302597389
"323","nga","b",0.273119498365012,1.82107302597389
"324","nga","c",-0.00549541127236242,1.82107302597389
"325","nic","a",-3.14241350232562,1.9287297857856
"326","nic","b",0.265902257790013,1.9287297857856
"327","nic","c",-0.00561472253152493,1.9287297857856
"328","nld","a",-0.351089277849772,2.27061045275091
"329","nld","b",0.0664693438657388,2.27061045275091
"330","nld","c",-0.00314034952262526,2.27061045275091
"331","nor","a",-0.0658263173124131,1.61643009502205
"332","nor","b",0.0346422304162347,1.61643009502205
"333","nor","c",-0.0041918964872177,1.61643009502205
"334","npl","a",-0.0173451392491405,0.145881600291732
"335","npl","b",0.00259582314299702,0.145881600291732
"336","npl","c",-9.70788663530818e-05,0.145881600291732
"337","nzl","a",-0.331444642058418,8.33689654722049
"338","nzl","b",0.052687963026066,8.33689654722049
