year,iso3,tag_name,value
2020,BRA,wealth,10.3156728212861
2021,BRA,wealth,11.0524466183568
1995,BHS,wealth,0.000487966348202977
1996,BHS,wealth,0.000896689049001234
1997,BHS,wealth,0.00169243256761059
1998,BHS,wealth,0.00196627259522025
1999,BHS,wealth,0.00275769914894123
2000,BHS,wealth,0.00342700253232162
2001,BHS,wealth,0.00407141778068325
2002,BHS,wealth,0.00478809812547728
2003,BHS,wealth,0.00543965251915837
2004,BHS,wealth,0.00635782282395468
2005,BHS,wealth,0.00761628300292019
2006,BHS,wealth,0.00887070605657523
2007,BHS,wealth,0.0101123325390539
2008,BHS,wealth,0.0109127091877953
2009,BHS,wealth,0.0108147274566921
2010,BHS,wealth,0.011457291869271
2011,BHS,wealth,0.0121905873767778
2012,BHS,wealth,0.013334951875574
2013,BHS,wealth,0.0130731564791153
2014,BHS,wealth,0.0137581766252201
2015,BHS,wealth,0.0146620192667515
2016,BHS,wealth,0.0152291031556684
2017,BHS,wealth,0.0166781559651373
2018,BHS,wealth,0.0176505321470018
2019,BHS,wealth,0.0190339014133858
2020,BHS,wealth,0.0173334483373214
2021,BHS,wealth,0.0188184286857308
1995,BTN,wealth,0.00472997225004757
1996,BTN,wealth,0.0053117433522679
1997,BTN,wealth,0.00596151758007354
1998,BTN,wealth,0.00602657471985471
1999,BTN,wealth,0.00679803978668096
2000,BTN,wealth,0.00722255711132612
2001,BTN,wealth,0.00805152645375487
2002,BTN,wealth,0.008695533342254
